,Data,User,Tweet
10,2021-12-31 18:09:14+00:00,kkekekeee,@pacifistgirll 짜민트 많이썬느데  혹시 독감주사벨름벨름?
11,2021-12-31 17:51:53+00:00,G_Seven328,"헐 ㅠㅠ절대 못떠나지!!
어딜떠나!!꼭 갈꺼야 태국!!
재작년에 그것 간다고 독감주사맞고 
손소독제,마스크 목캔디등등 ... 얼마나 사뒀는데 https://t.co/e3e2Ltu2GP"
12,2021-12-31 17:29:19+00:00,mirinae_bunpo,"[風邪関連単語]
감기 風邪
환절기 季節の変わり目
독감 インフルエンザ
증상 症状
열감기 熱の風邪
기침감기 咳の風邪
목감기 喉風邪
코감기 鼻風邪
내과 内科
이비인후과 耳鼻科
응급실 救急室"
13,2021-12-31 17:11:47+00:00,kkekekeee,"내가뽑는내최고의트윗은
독감주사벨름벨름 입니다감사합니다"
14,2021-12-31 16:42:01+00:00,rbK21rspgh,"방역당국은 백신패스 철회하고, 코로나 바이러스테러 전후 독감으로 인한 사망자수부터 비교 공개하라! 공개하라!!"
15,2021-12-31 16:18:43+00:00,erin_sadam,독감 주사 맞으러 가야되는데 비 와......
16,2021-12-31 15:58:19+00:00,wonyang34,@flu_0402 핫!!독감님도 새해복 많이받으세요!🥰💖하시고싶은일들 다하는 좋은 새해 되시길 &gt;_&lt; 정신놓고있다가 어느새 새해 되었네요 ~~
17,2021-12-31 14:41:42+00:00,nirnirnir00,@jal_jara_ 그나저나 오히려 무증상역병보다 독감이 괴로운건 더한거 아니냐고ㅠ 진짜 자리보전중이겠네 며칠째야? 좀 나아지긴함? 뭐라도 챙겨먹엇음?
18,2021-12-31 14:38:07+00:00,nirnirnir00,"@jal_jara_ 웃기다... 역병빼고다걸리네...
나 일때매 바쁘다고 무료독감백신도 안맞았는데 님보니까 맞을걸그런듯... 아니다 내껄 모히를 맞췃어야햇는디ㅠ"
19,2021-12-31 14:24:41+00:00,kkekoki,오늘 독감주사 맞았는데..팔이 떨어져나갈 것 같아
20,2021-12-31 14:16:55+00:00,homesill,"@violetuk1120 코로나는 독감수준인게 드러났는데,,뭔 역병?
미접종이 노력 안하는거여?
방역패스로 확진자 줄면 인정해주지,,그럴 것 같은가? 
택도 없다고~~!!
내보기엔 접종하고 헤벌레해가지고 쳐 싸돌아다니는게 더 위험하고 더 죄인라고~!
지금 중국처럼 외부적 통제로 하겠는건데,,좋아?"
21,2021-12-31 14:09:12+00:00,lee7momo,이스라엘은 대규모 조류 독감 발병을 억제하기 위해 고군분투하고 있습니다 https://t.co/9iXKfjgNcA
22,2021-12-31 13:51:45+00:00,savid7_ukimomo,@ssseress ㅠㅠㅠ 하하하 그땐 독감의 하나일겁니다 ㅠ
23,2021-12-31 13:49:17+00:00,anzu_mamang,"@DILLIGAF7_ 나 아파서 자살할뻔했어
어제아침일찍맞았거든
어젯밤에 너무 아파서 진짜죽고싶엇음
아니죽는줄알앗어
머리는 깨질거같고
감기몸살처럼 엄청아픈데
생리통까지 겹쳐서
완전 독감걸린그기분"
24,2021-12-31 13:41:15+00:00,bAv0Ji,이거 진짜 근처에 잇음... 동생네 병원 쌤이 자기는 부작용 잇다고 안맞는다면서 어케 알아요? 물어보니까 독감백신 예전에 맞앗을때 너무 아파서 그거 때매 자기는 백신부작용인걸 알앗대&lt;?ㅋㅋㅋㅋㅋㅋㅋ https://t.co/ygCbbkGMP4
25,2021-12-31 13:36:29+00:00,lovelypomina,@Cody62583522 젊을때가 좋쥬~ 나도 엄청 건강했고 30대까지는 진짜 강철체력이었는데 숫자 하나 바뀐뒤로 지금까지 여기저기 마구마구 아프더라고유. 그래도 독감은 한번도 안걸려봤는데 코로나가 진짜 사람 죽이네유. 코로나 안걸리려고 용쓰다가 더 빨리 죽을참. 어쨌든!!!! https://t.co/tJqQHi3fpW
26,2021-12-31 13:34:04+00:00,whathislifefor,바이러스는 생물이 아님. 따라서 죽일 수가 없고 RNA조각에 불과하기 때문에 현미경으로 안보이고 DNA처럼 가상의 이미지로 표현할 수밖에 없음. 머리카락이나 작은 유리조각 같은 것임. 손에 찔리면 열이나고 붓기 때문에 이 면역반응을 완화시키는 약이 있을뿐 독감치료약이라는 건 존재한 적이 없음
27,2021-12-31 13:23:13+00:00,mangomingooo,"백신은 미접종이나 독감접종은 맞고싶다는건 무슨논리일까,,,,"
28,2021-12-31 13:21:55+00:00,svtsk0116,@shudhkdlvm 헋ㅅ 조심해요.... 저도 독감맞고 춤 진짜 엄청 추고 목까지 써버려서 담날 열이 ㄴ안내려가서 수액맞고 겨우 진정됐어요..ㅜㅜ 조심해요ㅜㅠ
29,2021-12-31 13:08:34+00:00,4852_elle,오늘 맥주 한 잔 캬 하고 싶었는데 오늘 독감 백신 맞았네
30,2021-12-31 12:25:22+00:00,geunyang_otaku,숀 크레이언 (슬립낫): 20년동안 독감예방접종 안 받았지만 코로나 백신은 받을 예정 https://t.co/d63Li5I9Jw
31,2021-12-31 12:09:53+00:00,rnfma__04,"28. 크게 아파본 경험 : 기준이 뭔진 모르겠으나, 깁스나 입원 한번도 없음 (독감 걸려서 아픈게 젤 아팠는듯..)
29.  전 애인에게 연락이 온다면 : 안읽씹
30. 최애 동물 : 강아지"
32,2021-12-31 12:02:01+00:00,hwahae_commu,독감주사 때문인가 좀 열나는데
33,2021-12-31 11:56:34+00:00,Fliqpy_murderer,@Flaky_ff .... ..(그냥 내맘이라고 말하려다가 멈칫)............(본인 뒷머리 긁적이곤)....겨울에 독감 잘 걸린대잖냐; 무시했다가 나중에 존나 골골거리는거 보면 더럽게 신경쓰이거든? (겨우 제체기 한번 한거 가지고 꽤 신경쓰였나보다) 싫은거 아니면 그냥 쳐먹어 (자리 앉히기)
34,2021-12-31 11:49:14+00:00,LoDulgi,독감자 ㅋㅋㅋㅋㅋㅋ
35,2021-12-31 11:37:52+00:00,Goyoonjung_Bot,하~.. 지나양에게 독감 백신은 독약이나 다름없는거 였네요..
36,2021-12-31 11:06:45+00:00,easter_right,아니 그래서 몇차까지 맞아야 하는 건데; 뭔 독감 가져와서 응 독감도 매년 맞아야 해 변이 있어 이러고있냐 언제 독감 주사 매년 안 맞으면 밖에 못 돌아다니게 했냐? 독감주사 접종률이 얼마나 된다고 그걸 가져오노
37,2021-12-31 11:04:01+00:00,lalifeisabitch,코로나는 독감보다 약합니다. 애초에 에이즈는 그렇게 하면 안된다는 인식이 있는데 왜 코로나는 됨? 모순 덩어리 https://t.co/NaRi6TlPDi
38,2021-12-31 10:58:51+00:00,2dota_bba,"ㅅㅂ피자시킴 
그저께 독감주사 맞았는데 부작용인듯"
39,2021-12-31 10:44:49+00:00,chanho0625_,"뭐 쉽게 얘기하자면 독감이랑 허리디스크의 차이?
독감은 크게 아프고 적절하게 쉬어주면 끝이고 허리디스크는 내 처신에 따라 달라지는거지
열심히 운동해서 고통을 피하고 건강한 신체를 얻어 평생동안 신경쓰면서 살 수도 있고 진통제를 먹어가며 편하게 살아갈 수도 있고"
40,2021-12-31 09:31:24+00:00,yukaridake2727,독감주사도맞네
41,2021-12-31 09:31:00+00:00,ahyunjane,독감맞아서 그런가
42,2021-12-31 09:26:39+00:00,baekhyunee_03o,백현이 독감걸려도 쥰내 잘함..... https://t.co/QVRjTU2kFf
43,2021-12-31 09:18:12+00:00,NEETknitter,살이 빠지냐....는 사실 아직 모르겠음 30일째 하긴 했는데 시작하고 열흘만에 갑자기 허리아파서 정형외과 한의원 다니느라 한달 날리고 독감예방주사맞고 앓느라 일주일 사라지고 부스터샷맞고 일주일 쉬고'-` 그래도 운동하고 땀흘리니까 상쾌하긴함....내년부터는 더 열심히 해야지!
44,2021-12-31 09:05:54+00:00,nownet1117,"@boilingpointkr 정은경은 1년에 3천명 정도 된다더만여...작년에는 코로나 사망자가 900명 밖에 안되서 독감보다 가벼운 병이 될 뻔 했는데, 그래도 올해는 코로나 사망자가 4천663명이나 되서, 독감보다는 무서운 병이 됏네여."
45,2021-12-31 09:02:44+00:00,hwahae_commu,독감주사 접종 후 당일에만 음주 안 하면 되는거지????ㅇㅋ
46,2021-12-31 08:57:21+00:00,DnFstick,집가자마자 남거너 연성할 생각이었는데 독감주사맞으러 끌려가는중
47,2021-12-31 08:52:33+00:00,gk05sgr,카이타보..야가미 지금도 트라우마 잊으려고 워커홀릭인데 어릴 때도 좀 그랬겠지 싫은 일 잊으려고 일에 몰두하거나 카이토한테 덤벼들거나 하면서…휴일에도 돈 궁하다는 핑계로 텐더에서 자꾸 일하니까 카이토가 억지로 휴일 내게 하고(마스터는 찬성함)  병원 데려감 자기 독감 예방접종같은거
48,2021-12-31 08:46:31+00:00,boilingpointkr,독감으로 인한 사망자수가 연간 250명 정도 된다. 독감에 걸린뒤 폐렴으로 사망하는 숫자를 더하면 더 많을 것이다. 독감 백신 맞지 않은 사람들도 백화점 마트 입장을 금지할 것이다. 그리고 백화점과 마트는 마스크를 쓴다 https://t.co/jrzwCYg7ms
49,2021-12-31 08:38:56+00:00,Uooatchya,"..한가하면 독감주사맞을랫더니 흠,, ."
50,2021-12-31 08:38:37+00:00,Martinkim1228,@8bQ9yxNNG8Qh7zd 그냥 독감주사 맞은 느낌인데 저두 이런느낌 싫네요...ㅜㅜ
51,2021-12-31 08:36:14+00:00,imyeojin0000,@cheaksan 후 여기 남쪽이라 안추운건데두 이 정도면... 다른곳에 사는 애기들 얼어죽겟다ㅜㅜ 성호도 감기 조심! 역병 조심! 독감 조심! 한 해의 마지막날이니 즐겁구 행복하게 보내용♥️
52,2021-12-31 08:30:13+00:00,2wink_dialogue,기억하고 말고를 따지기 전에 오오가미 선배는 개가 아니라 사람이라고. 사람이 맞는 예방접종이라면 독감 접종 이야긴가?
53,2021-12-31 08:13:01+00:00,mylifeisjjot,"#셜록 #셜존영픽
https://t.co/2aWBHjxEqG
셜록 독감 걸려서 존 보살펴줌. 따뜻해서 미치겟다ㅜㅜ"
54,2021-12-31 07:47:12+00:00,CMY_fxxK,@WkgME4YPuVhme73 내가 그 사람들 이기적이라 했냐고요 뭔 빌게이츠가 조종한다 뭐한다 하면서 안맞는 사람 널리고 널렸는데 걔네가 싫다고요 멍청한 티 안냈음좋겠다고요 독감백신도 매년맞고 성분공개안하는데 그건 왜 가만히있다가 이러는지 모르겠고 의사간호사공무원 갈아가면서 방역해놨더니 되도않는소리
55,2021-12-31 07:37:20+00:00,awake1717,"접종자들 3개월 지나면 미접종자 됨. 
6개월이라고? 
쫌있어봐라. 3개월로 단축해야-&gt;2개월로 단축해야-&gt;1개월에 한번씩-&gt;1주일에 한번씩 으로 바뀔것임.
독감백신 1년에 한번맞음.그것도 자신의 선택으로 맞음.
3개월에 한번씩 맞는 백신이 어딨나??
그래서 백신 맞는 순간 지옥의 굴레에 빠진것임."
56,2021-12-31 07:33:14+00:00,GONOGO_Korea,"이스라엘에서 독감+코로나 동시감염 florona (flu+corona) 환자 증가세.

이스라엘에서 조류독감도 확산중.  계란 부족으로 수 백만개 수입추진."
57,2021-12-31 07:29:00+00:00,takeruholic0321,@tkrjaimebcp A형독감 걸렸을때 죽다 살아났는데 지금 그정도예요ㅠㅠ 머리가 깨질듯이 너무 아파요ㅠㅠ
58,2021-12-31 07:28:32+00:00,alpaca21pauo,"@taetae95_fan 무슨 일이 있었냐면 제가 독감 증상이 있었는데, 하루 열이 나고 숨이 차기 시작했고, 병원에 갔더니 PCR 검사를 했는데 코로나 양성 반응이 나왔다는 것입니다."
59,2021-12-31 07:17:15+00:00,takeruholic0321,A형독감 걸렸을때랑 몸 상태가 좀 비슷해 https://t.co/sRm9uHoKOy
60,2021-12-31 07:12:38+00:00,Ruhell_story,태의가 독감으로 열도나고 몸도 안좋아서 맥주 먹지 말라고 했는데 집안사람들 몰래 맥주 찾아마신거 일레이한테 딱 걸린거임.. 그리고 약기운&amp;맥주 때문에 몸이 묘하게 몽롱한 상태였다가 화들짝 놀란 태의가 들고있던 맥주 떨어트렷는데 그게 일레이앞까지 데구르르 굴러가서
61,2021-12-31 07:09:17+00:00,j_rabbit_jk,"@JK_musik 걱정마요 그냥 독감주사다 생각하세요..
저 참고로 독감보다 안아프더라구요"
62,2021-12-31 07:08:03+00:00,aring0912,"@roxjfqjffp99 1차 무사히 넘기고 2차 불안, 독감 빼박, 이번엔…. 이번엔 두구두구두구!!!"
63,2021-12-31 06:49:15+00:00,tr_coon,대사 추려보니 쿤의 모노뮤 3인방 온도차에 독감걸리겠네
64,2021-12-31 06:35:27+00:00,duuyulll_,반호퍼가 독감 걸린것 같다고 하니까 한쪽 어깨에 걸친거 나머지 한쪽도 덮어주는 따수운 졔나
65,2021-12-31 06:23:38+00:00,Danity_be_happy,"@hailie7868 저는 3차가 제일 안아팠어요
독감주사 맞은것 같았어요
1,2차는 너무 아팟ㅠㅠ"
66,2021-12-31 06:17:18+00:00,doba_bado,@noahpdreamer @ethroio 어느쪽이든  바이러스는 전염성이 강해지면서 동시에 치명률은 적어지는 것에 대한 반박은 거의 없습니다. 우리가 흔히 겪는 독감도 사망자는 매해 엄청납니다. 노약자나 기저질환자로 통계를 보면 마찬가지죠. 소아청소년과 임산부에 대한 접종강요는 단언컨데 비과학적이라고 말할 수 있습니다.
67,2021-12-31 06:12:14+00:00,HIHHEY,"독감보자 수두가 더 아파
수두를 왼쪽에 맞았어야했는데"
68,2021-12-31 06:10:53+00:00,litatree,"그들은 1차 대전 때는 스페인 독감을 퍼뜨려서 계획을 달성했었어요. 이번에는 코로나이죠. 이스라엘에서 홍을 돕기 위해서 계획한 일들이었는데, 현재 홍이 하도 싸구려로 소문이 나서 시기 조정을 해오고 있었던 거였어요."
69,2021-12-31 05:33:15+00:00,PINKPING25,"스케일링 연 1회 자궁경부암검진 2년에 한번 무료
백신 독감 자궁경부암 예방주사 맞기 심심하면 B형간염도
다 귀찮으면 피검사할 때 기본말고 최대한 많이 봐달라하기 피로 많은걸 알 수 있음
자세한건 국민건강보험 홈페이지 참고 https://t.co/Z6T8IypWAu"
70,2021-12-31 04:58:03+00:00,torte_1226_,@roha_enstar 독감쟈
71,2021-12-31 04:57:28+00:00,ngfu99,독감주사 맞았다.
72,2021-12-31 04:48:17+00:00,ahyunjane,오 독감 주사 맞았다
73,2021-12-31 04:45:13+00:00,hyejively_s,@fluke_kanawut 저 아는 분이 백신은 이틀 정도 아팠는데 독감주사가 일주일 아팠다고 🥲
74,2021-12-31 04:12:56+00:00,pikachu_sharp19,이제 코로나를 독감으로 생각하는구나 미치겠네
75,2021-12-31 03:48:38+00:00,kuwoolsan2,"PCR 검사 신뢰 할 수가 없다고 본다.독감 수준의 무증상 코로나로 국민들을 겁박 하지 마라!
사망자 대부분이 기저 질환자 라고 한다.

신속 PCR에 ‘오미크론 269명’ 폭증… 국내 발견 한 달, 총 900명 육박 https://t.co/5drf9cRAe5"
76,2021-12-31 03:46:39+00:00,KimBob0807,"@drinkinmachine 일단 국내 뉴스 뿐만 아니라 국제 뉴스도 좀 보시고요... 다시 말하지만 우리나라는 의료 시스템이 잘 돼있어서 젊은 층이 코로롱을 이겨낸 비율이 타 국가보다 상대적으로 높거든요... 또, 어느 백신이든 부작용 때문에 사망자는 나오기 마련인데 (가장 많이들 맞는 독감 백신도 마찬가지)"
77,2021-12-31 03:32:21+00:00,ieru96,걍 독감백신같은거죠..
78,2021-12-31 03:18:35+00:00,__bluesuede,"돌대가리들은 염전노예처럼 불쌍다니 지적장애인은 아니잖냐고 하면 자빱편이다 대깨빱이다 이러는데.
니들이 말기암에 걸리거나 모부가 말기암에 걸렸을 때 독감걸린 지인이랑 약속응 잡다가 '너네 엄마만 아프냐? 나도 니 말기암 엄마만큼 아픔'이라고 하면 화 안낼수 있는지 생각해보세요."
79,2021-12-31 03:04:29+00:00,suhyeok_bot,"계속 처방전이 나오고 있는데, 5개중 3개는 거의 독감인 것 같다. 모두 감기 조심, 특히 독감은 위험해서 항상 몸을 따뜻하게 해 두어야 합니다."
80,2021-12-31 02:54:33+00:00,jennychoi68,MSNBC 진행자: 오미크론 “독감처럼 보이는 것” https://t.co/D58SqWXH1y 출처 @newsandpost
81,2021-12-31 02:53:25+00:00,julieyih,"정부가 그 정도는 괜찮아,, 투명 인간 취급하는 분위기는 아닌 것 같은데요… 독감 예방 주사 맞고 죽어도 정부에 뭐라고 하나요?? https://t.co/aLbNS9Do6i"
82,2021-12-31 02:38:56+00:00,leewj3,"올 한해 
백신 4번 맞음
코로나 1 2 3차
폐렴 1번-오늘

독감, 대상포진은 내년에 생각해야겠다

내년에도 건강하자~"
83,2021-12-31 02:36:00+00:00,k_jeonyong,의ㅎ제즈 보는데 진짜 ㅋㅋㅋㅋㅋ저때의 이맠끄는 지금의 이맠끄를 예상이나 했을까 싶음 독감같은 졍우횽의 매력에 빠져서 그 누구보다 열심히 강아지라이팅하고 영원을 바라고 계시는..이 정도면 걍 불치병 아님? https://t.co/36N3xXwvgo
84,2021-12-31 02:32:57+00:00,yanu2712,독감 예방접종 맞으러 왔음
85,2021-12-31 02:28:49+00:00,end_ethics,"주 인: 개새끼야, 예방접종 맞았냐?
방 백: 독감?
주 인: 아니! 광견병!
방 백:"
86,2021-12-31 02:19:12+00:00,ayana__akiyama,@l3tsg0l3sb1ans 그렇다면 거의 사계절성 독감이네요
87,2021-12-31 02:18:11+00:00,eksrhfdhqQK,"장관들 백신접종현황 제출 거부ㄷㄷㄷㄷㄷ
지난해 독감현황때는 다 제출함 ㅋㅋㅋㅋㅋ
개돼들만 강제협박으로 맞는거임ㄷㄷㄷ https://t.co/3gg4XLOQUZ"
88,2021-12-31 02:17:52+00:00,hurtfree,"[홍성구의 뉴스브리핑] '21.12.30(목)
○26개주 내년 최저임금 인상
○바이든 대법원에 MPP 중단 요청
○올해 총 240만명 불법 입국
○MSNBC “오미크론, 독감같아”
○노동시장, 오미크론 위협 직면
○백신 거부 해병대원 206명 퇴역
○동료아내 살해한 힐러리 지지자에 35년형
https://t.co/keQGCrCsQn"
89,2021-12-31 02:17:39+00:00,newsNpost,"[홍성구의 뉴스브리핑] '21.12.30(목)
○26개주 내년 최저임금 인상
○바이든 대법원에 MPP 중단 요청
○올해 총 240만명 불법 입국
○MSNBC “오미크론, 독감같아”
○노동시장, 오미크론 위협 직면
○백신 거부 해병대원 206명 퇴역
○동료아내 살해한 힐러리 지지자에 35년형
https://t.co/Ius8vmu8K6"
90,2021-12-31 02:17:03+00:00,CoreCorean,"‘장관들의 백신 접종 현황을 별도로 관리하고 있지 않다’고 답변하며 자료 제출을 하지 않은 것으로 확인

한편 지난해 국회가 소속 공무원들의 ‘독감백신 접종 현황’을 요구하자 이를 별도로 조사하여 국회에 제출한 바

최춘식 “국무조정실 장관들...백신접종 현황 거부"" https://t.co/hYNP7jZw4X https://t.co/73VjyLNme1"
91,2021-12-31 02:16:37+00:00,l3tsg0l3sb1ans,@ayana__dayo_ 네 진짜 계절성 독감의 길을 걷고잇는듯......
92,2021-12-31 01:57:30+00:00,yrmevrythng,수빈이 겨울마다 한 번씩은 앓는 것 같아서 너무 안쓰러워... 독감도 한 번씩 걸리고ㅜㅜ 이번엔 목까지 아프고...
93,2021-12-31 01:52:56+00:00,ghostinthex,"여름철 5월 1일 ~ 8월 14일
질병청은 미접종자의 치명율이 0.26%라고 밝혔다
겨울되니 치명율이 오른다
독감이란 얘기다 https://t.co/L7KF1mUyOl"
94,2021-12-31 01:42:19+00:00,u_at613,"더 좋은 일로만 가득한 아미들 되었으면 좋겠어요💞 보고싶고, 애정합니다. 감기, 독감, f**king covid 다 무사히 지나가길 바라며, 2022년에도 내 좋은 친구가 되어주세요!  
더 좋은 인연으로 남아 있었으면 합니다 다들 고마워요🤟"
95,2021-12-31 01:32:03+00:00,Robe_Noire_1110,"@Luna3_H 너무웃픈게.. 코시국이라 마스크에 손잘씻고 다니니까 되려 독감환자가 없어욬ㅋㅋㅋㅋㅋㅋㅋㅋ

항상 조심하시고 따뜻한 커피/차/물 자주 드세요.☺️"
96,2021-12-31 01:21:03+00:00,nownet1117,"""독감 주사 안 맞는다고 장도 못 보게 하는 거랑 뭐가 다르냐...."" 
이차대전 때 나치들은 우선 유대인들이 가게를 못 가게 했다. https://t.co/MR7wFi5ygm"
97,2021-12-31 01:01:56+00:00,L_walkorthink,"저번에 3차 접종 받은 동네 소아과에서 독감 백신도 맞으라고 사탕이랑 백신 광고 주셔서, 어제 가서 독감 백신도 맞았다. 일요일도 백신 접종 해주신다. 동네 카페에 의료 정보도 잘 올려 주시고 정말 동네 주치의 느낌임. 동네에 큰 병원도 있는데 거긴 과잉진료나 해서 소아과 의원이 더 좋다."
98,2021-12-31 00:22:28+00:00,zhal23,@OmnibusTWD 아이고 이게 무슨ㅠㅠㅠㅠㅠㅠ 독감 이야기는 봤었는데 이게 이렇게ㅠㅠ 몸은 괜찮으세요ㅠㅠ????
99,2021-12-31 00:07:53+00:00,b14628494,살아 돌아왔습닏다 울지는 않았는데지금 대기 중이거든요 독감이랑 비슷하게 울렁거리는데 괜찮은 거 맞겟지???
100,2021-12-31 00:01:02+00:00,b14628494,어 나 독감 맞고 우는데 이거 맞고 펑펑 우는 거 아님?
101,2021-12-31 00:00:42+00:00,UNFCKBLVBL,"코로나는 독감이다,풍토병으로 간다는 정보를  확산시키는 반면에 백신과 백신패스는 강화되고 있는데, 이쯤되면 일부러 저항과 분노를 유도하는 단계라고 생각됨

그리고 저항하는자에게 참교육을 보여주면서 힘을 과시할거임 https://t.co/isO2Cs3uGr"
102,2021-12-30 23:44:26+00:00,kuwoolsan2,"독감수준 오미클론 봉쇄로 국민들 생계를 위협  하는 코로나 독재 문재앙 집단을 끌어내려야 국민과 나라가 산다!
못 살겠다 갈아보자!

[속보] 현행 거리두기 2주 연장…사적모임 4명, 식당 오후 9시 제한 https://t.co/K7zdP3gdeZ"
103,2021-12-30 23:37:42+00:00,Goyoonjung_Bot,하~.. 지나양에게 독감 백신은 독약이나 다름없는거 였네요..
104,2021-12-30 23:36:58+00:00,DuPil_log,"꾸역꾸역 미루고 미루던 독감예방접종
결국 연말에 맞음"
105,2021-12-30 23:18:51+00:00,sjreom,아 맞다. 어제 우리집 9살 코로나 백신 2차 맞았다. 완전 멀쩡함. 독감 백신 맞으면 하루종일 팔도 안움직이는 엄살쟁인데 맞은것도 까먹을 정도.. 다행..
106,2021-12-30 23:16:36+00:00,dickchoco0427,@Biyak_game 설마 다 독감걸리라는 건가?! ㅎㄷㄷ 삐약님 무서워 ㅜㅜ
107,2021-12-30 23:16:19+00:00,0722Filter,일하고 있는 약국 이번주 갑자기 비상 걸림… 매니저랑 직원 한분 양성에 또한분은 독감… 그리고 어마마마도 월요일부터 갑자기 기침을 하기 시작해서 이틀전 PCR 검사 받았는데 오늘 오후 결과 받음…다행이도 부모님이랑 나랑 다 음성… 휴… 전파력 너무 ㅁ친거 아님… 내님들도 조심하세여 ㅠㅠ😱 https://t.co/jGLZoLGwsb
108,2021-12-30 22:50:47+00:00,reality2121,"독감 수준의 감기를 미디어로 통해 집단무의식을 만들고 공포를 조장 확산시켜 세계시민의 시각 청각의 판단을 혼란시키죠
그럼 생각은 마비가 되어버리죠
그리하면서 인류는 통제당하며 NWO 권력 유지
통치수단으로 사용되어왔다는 사실을 이제 촉이 있는 사람이라면 다 아실 것이라 생각합니다만"
109,2021-12-30 21:29:31+00:00,NsGwcnn6,셈스볼트 맛집창업 되실꺼 시향병 폴로커플티 의정부설비 문화재보존 레이지벨라 문닫힘 맥주로고 질좋은무지티 유아독감주사 의원명찰 고희연식순 소파방석쿠션 남자긴코트 함소화 구미복합기
110,2021-12-30 20:43:25+00:00,_jojo_golden,"드림주는 코이치를 길에서 마주쳤음. 코이치도 죠스케가 차인 걸 알고 있는지 어색한 태도였음. 코이치는 죠스케 병문안 갔다오는 길이라고 했음.
드림주는 죠스케에게 미안한 마음이 있었으니 심장 덜컥해서 어디 아프냐고 물어보니까 요즘 유행하는 독감이라 함. 코이치는 곧장 오쿠야스 병문안도"
111,2021-12-30 20:09:42+00:00,coffP,주말부터 너무 아파서 설마 코로롱 2회차인가했는데.. 다행히그건아니고... 독감백신 맞았는데 독감인가..아니면 그냥 감긴데 내가 그저 죽어가는것뿐인지무엇인지... 일주일내내 비오고.. 짧디짧은방학이...이렇게간다....
112,2021-12-30 18:53:29+00:00,salmon_0318_,@n0kcha_1124 독감 맞았을때랑 비슷하게 아파서 로그 후딱 팠죠 히히
113,2021-12-30 18:06:04+00:00,DebMart28296300,"""독감백신맞은 학생사망원인이 아질산염 중독이라는데 이게 햄이나 소세지, 베이컨에도 주로 쓰이는거라네요...
 무섭다 ㅜㅜㅜㅜ 참고로 비타민C가 아질산염을 산화질소로 환원시켜줘서 중독예방에 좋다고해요!
 https://t.co/WEbprEtVPx
 
 제휴커미션 지급받을수 있음y43a56"""
